SELECT;Geometry Code;Layer;fclass;Description;OSM Tag;;;;;;
transports;6106;railways;narrow_gauge;A narrow gauge railway track.;railway=narrow_gauge;;;;;;
transports;6107;railways;miniature;A miniature railway track.;railway=miniature;;;;;;
transports;6108;railways;funicular;A funicular, or cable railway usually on a;railway=funicular, or;;;;;;
transports;6109;railways;rack;A rack railway;railway=rack, or;;;;;;
transports;6111;railways;drag_lift;An overhead tow-line for skiers.;aerialway=drag_lift;;;;;;
transports;6112;railways;chair_lift;An open chairlift run.;aerialway=chair_lift or;;;;;;
transports;6113;railways;cable_car;A cabin cable car run.;aerialway=cable_car;;;;;;
transports;6114;railways;gondola;An aerialway where the cabins go around in aerialway=gondola;;;;;;;
transports;6115;railways;goods;An aerialway for the transport of goods.;aerialway=goods;;;;;;
transports;6119;railways;other_lift;Another type of lift.;aerialway=one of;;;;;;
transports;7227;landuse;railway;;;;;;;;
transports;50;transport;;Parking lots, petrol (gas) stations, ...;;;;;;;
transports;51;roads;;Roads, tracks, paths, ...;;;;;;;
transports;52;traffic;;Traffic related;;;;;;;
transports;61;railway;;Railway, subways, light rail, trams, ...;;;;;;;
;2…;pois;;Points of Interest, therein;;;;;;;
;10;places;;Cities, towns, suburbs, villages,.;;;;;;;
;11;boundaries;;Borders between countries ...;;;;;;;
;12;adminareas;;Administrative areas (countries, states, counties, ...);;;;;;;
;15;buildings;;Building outlines;;;;;;;
;20;public;;Public facilities such as government offices, post office, police, ...;;;;;;;
;21;health;;Hospitals, pharmacies, ...;;;;;;;
;26;money;;Banks and atms;;;;;;;
;29;miscpoi;;Miscellaneous points of interest;;;;;;;
;53;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;54;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;55;barriers;;Natural or man-made barrier lines like fence, hedges or walls;;;;;;;
;55;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;56;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;62;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;63;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;64;power;;Power generators, substations, ...;;;;;;;
;64;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;65;nonop;;Roads and railways planned, under construction, or disused;;;;;;;
;66;powerlines;;Power lines;;;;;;;
;67;aeroways;;Runways and taxiways at airports;;;;;;;
;72;landuse;;Forests, residential areas, industrial areas,...;;;;;;;
;83;coastline;;Coastline;;;;;;;
;90;routes;;Routes for cycling, hiking, moutain bikes, nordic walking;;;;;;;
;91;cycle_route_segments;;Roads which are part of cycle routes not provided by the;;;;;;;
;208;Education;;;;;;;;;
;511;roads;;Major roads;;;;;;;
;512;roads;;Minor Roads;;;;;;;
;513;roads;;Highway links (sliproads/ramps);;;;;;;
;514;roads;;Very small roads;;;;;;;
;515;roads;;Paths unsuitable for cars;;;;;;;
;521;traffic;;Barriers on roads and paths, e.g. lift gates or bollards;;;;;;;
;522;traffic;;barriers on roads and paths, e.g. lift gates and bollards;;;;;;;
;523;traffic;;traffic calming;;;;;;;
;565;Air Traffic;;;;;;;;;
;565;transport;;airport, airfield, helipad;;;;;;;
;566;Water Traffic;;;;;;;;;
;567;Other Traffic;;;;;;;;;
;611;railways;;drag_lift, chair_lift, cable_car, gondola, goods, other_lift;;;;;;;
;1004;place;hamlet;"As defined by national/state/provincial government. Generally smaller than a village, just	
a few houses";;;;;;;
;1005;place;national_capital;A national capital;;;;;;;
;1005;places;national_capital;;;;;;;;
;1010;place;suburb;Named area of town or city;place=suburb;;;;;;
;1020;place;island;Identifies an island;place=island;;;;;;
;1030;place;farm;Named farm;place=farm;;;;;;
;1031;place;dwelling;Isolated dwelling (1 or 2 houses, smaller than;place=isolated_dwelling;;;;;;
;1040;place;region;A region label (used in some areas only);place=region;;;;;;
;1041;place;county;A county label (used in some areas only);place=county;;;;;;
;1050;place;locality;Other kind of named place;place=locality;;;;;;
;1099;places;;named_place – something tagged area=yes in OpenStreetMap and carrying a;;;;;;;
;2004;public;post_box;A post box (for letters).;amenity=post_box;;;;;;
;2005;public;post_office;A post office.;amenity=post_office;;;;;;
;2006;public;telephone;A public telephone booth.;amenity=telephone;;;;;;
;2008;public;town_hall;A town hall.;amenity=townhall;;;;;;
;2009;public;courthouse;A court house.;amenity=courthouse;;;;;;
;2010;public;prison;A prison.;amenity=prison;;;;;;
;2012;public;community_centre;A public facility which is mostly;amenity=community_centre;;;;;;
;2013;public;nursing_home;A home for disabled or elderly;amenity=nursing_home;;;;;;
;2081;public;university;A university.;amenity=university;;;;;;
;2082;public;school;A school.;amenity=school;;;;;;
;2083;public;kindergarten;A kindergarten (nursery).;amenity=kindergarten;;;;;;
;2084;public;college;A college.;amenity=college;;;;;;
;2099;public;public_building;An unspecified public building.;amenity=public_building;;;;;;
;2121;health;dentist;A dentist's practice.;amenity=dentist;;;;;;
;2514;shopping;chemist;A shop selling articles of personal;shop=chemist;;;;;;
;2516;shopping;butcher;A butcher.;shop=butcher;;;;;;
;2517;shopping;shoe_shop;A shoe shop.;shop=shoes;;;;;;
;2519;shopping;optician;A place where you can buy;shop=optician;;;;;;
;2523;shopping;stationery;A shop selling stationery for;shop=stationery;;;;;;
;2525;shopping;mobile_phone_shop;A shop for mobile phones.;shop=mobile_phone;;;;;;
;2525;pois;mobile_phone_shop;;;;;;;;
;2526;shopping;toy_shop;A toy store.;shop=toys;;;;;;
;2527;shopping;newsagent;A show selling mainly newspapers;shop=newsagent;;;;;;
;2528;shopping;greengrocer;A shop selling fruit and;shop=greengrocer;;;;;;
;2530;shopping;video_shop;A place where you can buy films.;shop=video;;;;;;
;2530;pois;video_shop;;;;;;;;
;2541;shopping;car_dealership;A car dealership.;shop=car;;;;;;
;2541;pois;car_dealership;;;;;;;;
