,geometry,cluster
R10C77,"POLYGON ((12.070000234 45.0500034372764, 12.0625002375 45.0500034372764, 12.0625002375 45.04500346838561, 12.070000234 45.04500346838561, 12.070000234 45.0500034372764))",6
R10C81,"POLYGON ((12.10000022 45.0500034372764, 12.0925002235 45.0500034372764, 12.0925002235 45.04500346838561, 12.10000022 45.04500346838561, 12.10000022 45.0500034372764))",6
R10C92,"POLYGON ((12.1825001815 45.0500034372764, 12.175000185 45.0500034372764, 12.175000185 45.04500346838561, 12.1825001815 45.04500346838561, 12.1825001815 45.0500034372764))",6
R10C116,"POLYGON ((12.3625000975 45.0500034372764, 12.355000101 45.0500034372764, 12.355000101 45.04500346838561, 12.3625000975 45.04500346838561, 12.3625000975 45.0500034372764))",6
R10C117,"POLYGON ((12.370000094 45.0500034372764, 12.3625000975 45.0500034372764, 12.3625000975 45.04500346838561, 12.370000094 45.04500346838561, 12.370000094 45.0500034372764))",6
R11C28,"POLYGON ((11.7025004055 45.055003406167195, 11.695000409 45.055003406167195, 11.695000409 45.0500034372764, 11.7025004055 45.0500034372764, 11.7025004055 45.055003406167195))",11
R11C39,"POLYGON ((11.785000367 45.055003406167195, 11.7775003705 45.055003406167195, 11.7775003705 45.0500034372764, 11.785000367 45.0500034372764, 11.785000367 45.055003406167195))",11
R11C40,"POLYGON ((11.7925003635 45.055003406167195, 11.785000367 45.055003406167195, 11.785000367 45.0500034372764, 11.7925003635 45.0500034372764, 11.7925003635 45.055003406167195))",11
R11C41,"POLYGON ((11.80000036 45.055003406167195, 11.7925003635 45.055003406167195, 11.7925003635 45.0500034372764, 11.80000036 45.0500034372764, 11.80000036 45.055003406167195))",11
R11C71,"POLYGON ((12.025000255 45.055003406167195, 12.0175002585 45.055003406167195, 12.0175002585 45.0500034372764, 12.025000255 45.0500034372764, 12.025000255 45.055003406167195))",11
R11C73,"POLYGON ((12.040000248 45.055003406167195, 12.0325002515 45.055003406167195, 12.0325002515 45.0500034372764, 12.040000248 45.0500034372764, 12.040000248 45.055003406167195))",11
