,geometry,cluster
R4C34,"POLYGON ((4.351047973436963 52.019999627588675, 4.344168031004827 52.019999627588675, 4.344168031004827 52.01499975603829, 4.351047973436963 52.01499975603829, 4.351047973436963 52.019999627588675))",3
R4C35,"POLYGON ((4.3579279158691 52.019999627588675, 4.351047973436963 52.019999627588675, 4.351047973436963 52.01499975603829, 4.3579279158691 52.01499975603829, 4.3579279158691 52.019999627588675))",3
R4C36,"POLYGON ((4.364807858301236 52.019999627588675, 4.3579279158691 52.019999627588675, 4.3579279158691 52.01499975603829, 4.364807858301236 52.01499975603829, 4.364807858301236 52.019999627588675))",3
R4C37,"POLYGON ((4.371687800733373 52.019999627588675, 4.364807858301236 52.019999627588675, 4.364807858301236 52.01499975603829, 4.371687800733373 52.01499975603829, 4.371687800733373 52.019999627588675))",3
R4C38,"POLYGON ((4.378567743165509 52.019999627588675, 4.371687800733373 52.019999627588675, 4.371687800733373 52.01499975603829, 4.378567743165509 52.01499975603829, 4.378567743165509 52.019999627588675))",15
R4C46,"POLYGON ((4.4336072826226 52.019999627588675, 4.426727340190464 52.019999627588675, 4.426727340190464 52.01499975603829, 4.4336072826226 52.01499975603829, 4.4336072826226 52.019999627588675))",15
R4C47,"POLYGON ((4.440487225054737 52.019999627588675, 4.4336072826226 52.019999627588675, 4.4336072826226 52.01499975603829, 4.440487225054737 52.01499975603829, 4.440487225054737 52.019999627588675))",15
R4C61,"POLYGON ((4.536806419104646 52.019999627588675, 4.52992647667251 52.019999627588675, 4.52992647667251 52.01499975603829, 4.536806419104646 52.01499975603829, 4.536806419104646 52.019999627588675))",15
R4C68,"POLYGON ((4.584966016129601 52.019999627588675, 4.578086073697465 52.019999627588675, 4.578086073697465 52.01499975603829, 4.584966016129601 52.01499975603829, 4.584966016129601 52.019999627588675))",10
R4C83,"POLYGON ((4.6881651526116475 52.019999627588675, 4.681285210179511 52.019999627588675, 4.681285210179511 52.01499975603829, 4.6881651526116475 52.01499975603829, 4.6881651526116475 52.019999627588675))",10
R4C84,"POLYGON ((4.695045095043784 52.019999627588675, 4.6881651526116475 52.019999627588675, 4.6881651526116475 52.01499975603829, 4.695045095043784 52.01499975603829, 4.695045095043784 52.019999627588675))",10
R4C85,"POLYGON ((4.70192503747592 52.019999627588675, 4.695045095043784 52.019999627588675, 4.695045095043784 52.01499975603829, 4.70192503747592 52.01499975603829, 4.70192503747592 52.019999627588675))",10
R4C86,"POLYGON ((4.708804979908057 52.019999627588675, 4.70192503747592 52.019999627588675, 4.70192503747592 52.01499975603829, 4.708804979908057 52.01499975603829, 4.708804979908057 52.019999627588675))",10
R4C87,"POLYGON ((4.715684922340193 52.019999627588675, 4.708804979908057 52.019999627588675, 4.708804979908057 52.01499975603829, 4.715684922340193 52.01499975603829, 4.715684922340193 52.019999627588675))",10
R4C88,"POLYGON ((4.7225648647723295 52.019999627588675, 4.715684922340193 52.019999627588675, 4.715684922340193 52.01499975603829, 4.7225648647723295 52.01499975603829, 4.7225648647723295 52.019999627588675))",10
R4C133,"POLYGON ((5.032162274218468 52.019999627588675, 5.0252823317863315 52.019999627588675, 5.0252823317863315 52.01499975603829, 5.032162274218468 52.01499975603829, 5.032162274218468 52.019999627588675))",5
R4C134,"POLYGON ((5.039042216650604 52.019999627588675, 5.032162274218468 52.019999627588675, 5.032162274218468 52.01499975603829, 5.039042216650604 52.01499975603829, 5.039042216650604 52.019999627588675))",5
R4C135,"POLYGON ((5.045922159082741 52.019999627588675, 5.039042216650604 52.019999627588675, 5.039042216650604 52.01499975603829, 5.045922159082741 52.01499975603829, 5.045922159082741 52.019999627588675))",5
R4C136,"POLYGON ((5.052802101514877 52.019999627588675, 5.045922159082741 52.019999627588675, 5.045922159082741 52.01499975603829, 5.052802101514877 52.01499975603829, 5.052802101514877 52.019999627588675))",5
R4C137,"POLYGON ((5.059682043947014 52.019999627588675, 5.052802101514877 52.019999627588675, 5.052802101514877 52.01499975603829, 5.059682043947014 52.01499975603829, 5.059682043947014 52.019999627588675))",5
R4C140,"POLYGON ((5.080321871243423 52.019999627588675, 5.073441928811286 52.019999627588675, 5.073441928811286 52.01499975603829, 5.080321871243423 52.01499975603829, 5.080321871243423 52.019999627588675))",5
R4C142,"POLYGON ((5.094081756107696 52.019999627588675, 5.087201813675559 52.019999627588675, 5.087201813675559 52.01499975603829, 5.094081756107696 52.01499975603829, 5.094081756107696 52.019999627588675))",5
R4C143,"POLYGON ((5.100961698539832 52.019999627588675, 5.094081756107696 52.019999627588675, 5.094081756107696 52.01499975603829, 5.100961698539832 52.01499975603829, 5.100961698539832 52.019999627588675))",5
R4C151,"POLYGON ((5.156001237996923 52.019999627588675, 5.149121295564787 52.019999627588675, 5.149121295564787 52.01499975603829, 5.156001237996923 52.01499975603829, 5.156001237996923 52.019999627588675))",11
R4C153,"POLYGON ((5.169761122861196 52.019999627588675, 5.16288118042906 52.019999627588675, 5.16288118042906 52.01499975603829, 5.169761122861196 52.01499975603829, 5.169761122861196 52.019999627588675))",11
R4C154,"POLYGON ((5.176641065293333 52.019999627588675, 5.169761122861196 52.019999627588675, 5.169761122861196 52.01499975603829, 5.176641065293333 52.01499975603829, 5.176641065293333 52.019999627588675))",11
R4C155,"POLYGON ((5.183521007725469 52.019999627588675, 5.176641065293333 52.019999627588675, 5.176641065293333 52.01499975603829, 5.183521007725469 52.01499975603829, 5.183521007725469 52.019999627588675))",11
