,geometry,cluster
R12C16,"POLYGON ((1.5125260913916467 41.1796616818483, 1.5050262886424124 41.1796616818483, 1.5050262886424124 41.17583010675175, 1.5125260913916467 41.17583010675175, 1.5125260913916467 41.1796616818483))",5
R13C3,"POLYGON ((1.4150286556516003 41.18349325694486, 1.407528852902366 41.18349325694486, 1.407528852902366 41.1796616818483, 1.4150286556516003 41.1796616818483, 1.4150286556516003 41.18349325694486))",5
R13C17,"POLYGON ((1.520025894140881 41.18349325694486, 1.5125260913916467 41.18349325694486, 1.5125260913916467 41.1796616818483, 1.520025894140881 41.1796616818483, 1.520025894140881 41.18349325694486))",5
R13C18,"POLYGON ((1.5275256968901154 41.18349325694486, 1.520025894140881 41.18349325694486, 1.520025894140881 41.1796616818483, 1.5275256968901154 41.1796616818483, 1.5275256968901154 41.18349325694486))",5
R14C9,"POLYGON ((1.4600274721470063 41.18732483204141, 1.452527669397772 41.18732483204141, 1.452527669397772 41.18349325694486, 1.4600274721470063 41.18349325694486, 1.4600274721470063 41.18732483204141))",5
R14C18,"POLYGON ((1.5275256968901154 41.18732483204141, 1.520025894140881 41.18732483204141, 1.520025894140881 41.18349325694486, 1.5275256968901154 41.18349325694486, 1.5275256968901154 41.18732483204141))",5
R14C19,"POLYGON ((1.5350254996393498 41.18732483204141, 1.5275256968901154 41.18732483204141, 1.5275256968901154 41.18349325694486, 1.5350254996393498 41.18349325694486, 1.5350254996393498 41.18732483204141))",5
R14C20,"POLYGON ((1.542525302388584 41.18732483204141, 1.5350254996393498 41.18732483204141, 1.5350254996393498 41.18349325694486, 1.542525302388584 41.18349325694486, 1.542525302388584 41.18732483204141))",5
R14C21,"POLYGON ((1.5500251051378184 41.18732483204141, 1.542525302388584 41.18732483204141, 1.542525302388584 41.18349325694486, 1.5500251051378184 41.18349325694486, 1.5500251051378184 41.18732483204141))",5
R14C24,"POLYGON ((1.5725245133855215 41.18732483204141, 1.5650247106362871 41.18732483204141, 1.5650247106362871 41.18349325694486, 1.5725245133855215 41.18349325694486, 1.5725245133855215 41.18732483204141))",5
R14C25,"POLYGON ((1.5800243161347558 41.18732483204141, 1.5725245133855215 41.18732483204141, 1.5725245133855215 41.18349325694486, 1.5800243161347558 41.18349325694486, 1.5800243161347558 41.18732483204141))",5
R15C9,"POLYGON ((1.4600274721470063 41.19115640713797, 1.452527669397772 41.19115640713797, 1.452527669397772 41.18732483204141, 1.4600274721470063 41.18732483204141, 1.4600274721470063 41.19115640713797))",5
R15C24,"POLYGON ((1.5725245133855215 41.19115640713797, 1.5650247106362871 41.19115640713797, 1.5650247106362871 41.18732483204141, 1.5725245133855215 41.18732483204141, 1.5725245133855215 41.19115640713797))",5
R15C25,"POLYGON ((1.5800243161347558 41.19115640713797, 1.5725245133855215 41.19115640713797, 1.5725245133855215 41.18732483204141, 1.5800243161347558 41.18732483204141, 1.5800243161347558 41.19115640713797))",5
R15C26,"POLYGON ((1.5875241188839901 41.19115640713797, 1.5800243161347558 41.19115640713797, 1.5800243161347558 41.18732483204141, 1.5875241188839901 41.18732483204141, 1.5875241188839901 41.19115640713797))",5
R15C27,"POLYGON ((1.5950239216332245 41.19115640713797, 1.5875241188839901 41.19115640713797, 1.5875241188839901 41.18732483204141, 1.5950239216332245 41.18732483204141, 1.5950239216332245 41.19115640713797))",5
R15C28,"POLYGON ((1.6025237243824588 41.19115640713797, 1.5950239216332245 41.19115640713797, 1.5950239216332245 41.18732483204141, 1.6025237243824588 41.18732483204141, 1.6025237243824588 41.19115640713797))",5
R15C29,"POLYGON ((1.6100235271316932 41.19115640713797, 1.6025237243824588 41.19115640713797, 1.6025237243824588 41.18732483204141, 1.6100235271316932 41.18732483204141, 1.6100235271316932 41.19115640713797))",5
R15C30,"POLYGON ((1.6175233298809275 41.19115640713797, 1.6100235271316932 41.19115640713797, 1.6100235271316932 41.18732483204141, 1.6175233298809275 41.18732483204141, 1.6175233298809275 41.19115640713797))",5
R16C24,"POLYGON ((1.5725245133855215 41.19498798223452, 1.5650247106362871 41.19498798223452, 1.5650247106362871 41.19115640713797, 1.5725245133855215 41.19115640713797, 1.5725245133855215 41.19498798223452))",5
R16C25,"POLYGON ((1.5800243161347558 41.19498798223452, 1.5725245133855215 41.19498798223452, 1.5725245133855215 41.19115640713797, 1.5800243161347558 41.19115640713797, 1.5800243161347558 41.19498798223452))",5
R16C26,"POLYGON ((1.5875241188839901 41.19498798223452, 1.5800243161347558 41.19498798223452, 1.5800243161347558 41.19115640713797, 1.5875241188839901 41.19115640713797, 1.5875241188839901 41.19498798223452))",5
R16C27,"POLYGON ((1.5950239216332245 41.19498798223452, 1.5875241188839901 41.19498798223452, 1.5875241188839901 41.19115640713797, 1.5950239216332245 41.19115640713797, 1.5950239216332245 41.19498798223452))",5
R16C29,"POLYGON ((1.6100235271316932 41.19498798223452, 1.6025237243824588 41.19498798223452, 1.6025237243824588 41.19115640713797, 1.6100235271316932 41.19115640713797, 1.6100235271316932 41.19498798223452))",5
R16C30,"POLYGON ((1.6175233298809275 41.19498798223452, 1.6100235271316932 41.19498798223452, 1.6100235271316932 41.19115640713797, 1.6175233298809275 41.19115640713797, 1.6175233298809275 41.19498798223452))",5
R16C31,"POLYGON ((1.6250231326301618 41.19498798223452, 1.6175233298809275 41.19498798223452, 1.6175233298809275 41.19115640713797, 1.6250231326301618 41.19115640713797, 1.6250231326301618 41.19498798223452))",5
